Shiloh-Scott||College Station||Belleville Station||Swansea Station||Memorial Hospital Station||Fairview Heights Station||Washington Park Station||JJK Center Station||Emerson Park Station||5th & Missouri||East Riverfront Station||Laclede's Landing/Arch Station||Convention Center Station||8th & Pine Station||Stadium Station||Civic Center Station||Union Station||Grand Station||Central West End Station||Forest Park Station||Delmar Loop Station||Wellston Station||Rock Road Station||South UMSL Station||North UMSL Station||North Hanley Station||Lambert Airport Terminal 2||Lambert Airport Terminal 1|
37||36||35||34||33||32||31||30||29||28||27||26||25||24||23||22||21||20||19||18||8||7||6||5||4||3||2||1|
17:22|0|17:27|0|17:32|0|17:34|0|17:38|0|17:42|0|17:47|0|17:50|0|17:52|0|17:55|0|17:58|0|18:00|0|18:01|0|18:03|0|18:04|0|18:06|0|18:07|0|18:11|0|18:14|0|18:17|0|18:19|0|18:21|0|18:23|0|18:25|0|18:27|0|18:29|0|18:34|0|18:36|0
17:42|0|17:47|0|17:52|0|17:54|0|17:58|0|18:02|0|18:07|0|18:10|0|18:12|0|18:15|0|18:18|0|18:20|0|18:21|0|18:23|0|18:24|0|18:26|0|18:27|0|18:31|0|18:34|0|18:37|0|18:39|0|18:41|0|18:43|0|18:45|0|18:47|0|18:49|0|18:54|0|18:56|0
18:02|0|18:07|0|18:12|0|18:14|0|18:18|0|18:22|0|18:27|0|18:30|0|18:32|0|18:35|0|18:38|0|18:40|0|18:41|0|18:43|0|18:44|0|18:46|0|18:47|0|18:51|0|18:54|0|18:57|0|18:59|0|19:01|0|19:03|0|19:05|0|19:07|0|19:09|0|19:14|0|19:16|0
18:22|0|18:27|0|18:32|0|18:34|0|18:38|0|18:42|0|18:47|0|18:50|0|18:52|0|18:55|0|18:58|0|19:00|0|19:01|0|19:03|0|19:04|0|19:06|0|19:07|0|19:11|0|19:14|0|19:17|0|19:19|0|19:21|0|19:23|0|19:25|0|19:27|0|19:29|0|19:34|0|19:36|0
18:42|0|18:47|0|18:52|0|18:54|0|18:58|0|19:02|0|19:07|0|19:10|0|19:12|0|19:15|0|19:18|0|19:20|0|19:21|0|19:23|0|19:24|0|19:26|0|19:27|0|19:31|0|19:34|0|19:37|0|19:39|0|19:41|0|19:43|0|19:45|0|19:47|0|19:49|0|19:54|0|19:56|0
19:02|0|19:07|0|19:12|0|19:14|0|19:18|0|19:22|0|19:27|0|19:30|0|19:32|0|19:35|0|19:38|0|19:40|0|19:41|0|19:43|0|19:44|0|19:46|0|19:47|0|19:51|0|19:54|0|19:57|0|19:59|0|20:01|0|20:03|0|20:05|0|20:07|0|20:09|0|20:14|0|20:16|0
19:22|0|19:27|0|19:32|0|19:34|0|19:38|0|19:42|0|19:47|0|19:50|0|19:52|0|19:55|0|19:58|0|20:00|0|20:01|0|20:03|0|20:04|0|20:06|0|20:07|0|20:11|0|20:14|0|20:17|0|20:19|0|20:21|0|20:23|0|20:25|0|20:27|0|20:29|0|20:34|0|20:36|0
19:42|0|19:47|0|19:52|0|19:54|0|19:58|0|20:02|0|20:07|0|20:10|0|20:12|0|20:15|0|20:18|0|20:20|0|20:21|0|20:23|0|20:24|0|20:26|0|20:27|0|20:31|0|20:34|0|20:37|0|20:39|0|20:41|0|20:43|0|20:45|0|20:47|0|20:49|0|20:54|0|20:56|0
20:02|0|20:07|0|20:12|0|20:14|0|20:18|0|20:22|0|20:27|0|20:30|0|20:32|0|20:35|0|20:38|0|20:40|0|20:41|0|20:43|0|20:44|0|20:46|0|20:47|0|20:51|0|20:54|0|20:57|0|20:59|0|21:01|0|21:03|0|21:05|0|21:07|0|21:09|0|21:14|0|21:16|0
20:22|0|20:27|0|20:32|0|20:34|0|20:38|0|20:42|0|20:47|0|20:50|0|20:52|0|20:55|0|20:58|0|21:00|0|21:01|0|21:03|0|21:04|0|21:06|0|21:07|0|21:11|0|21:14|0|21:17|0|21:19|0|21:21|0|21:23|0|21:25|0|21:27|0|21:29|0|21:34|0|21:36|0
